Vial ID,PAKi (PF-3758309),Flt3i (midostaurin),CK2i (silmitasertib),MEKi (trametinib),P38i (TAK715)
F2601,0.86235787,0.81304608,0.624416517,0.999289268,0.967306326
F2673,0.651952462,0.499151104,0.559139785,0.701612903,0.888248848
F3892,0.308788599,0.790182106,0.788804071,0.924512299,0.98800738
F6350,0.630372493,0.621776504,0.819484241,0.832727273,0.952727273
F6962,0.689279225,1.05330103,0.730267247,0.913610938,1.012315271
F8903,1.103286385,0.771830986,0.487323944,0.56713615,0.75399061
F9135,0.342857143,0.525714286,0.325714286,0.676190476,0.774647887
R3221,0.565836299,0.697508897,0.930604982,0.960884354,1.001901141
R7919,0.31821975,0.228094576,0.668900804,0.388739946,0.90080429
R9150,0.223529412,0.311764706,0.3,0.810639645,1.253324889
T1820,0.788385827,0.70212766,0.531914894,0.989704873,0.986959506
T2100,0.829528898,0.757163672,0.254308388,0.949579832,0.92760181
T2413,0.557560137,0.873281787,0.708160443,0.644536653,1.013370217
T8546,0.826377295,0.853505843,0.892086331,0.886890488,0.911670663
X3720,0.839688716,0.940077821,0.85034965,0.583216783,0.617482517
X7910,0.713282248,0.602809706,1.018755328,0.786018755,0.754475703
X8719,0.931724138,0.794778325,0.340123791,0.956836359,0.883204266
T8724,0.797202797,0.800699301,0.769230769,0.94488189,1.127118644
F0763,0.451089476,0.894761242,0.880291306,0.482476104,0.886208466
F8011,0.72971819,0.643040137,0.851045296,0.581445993,0.941202091
R3762,0.293961864,0.429555085,0.89258312,0.461381074,0.472634271
R5657,0.212734082,0.282397004,0.747839749,0.774548311,1.024351925
R8774,0.451256898,0.618638872,0.862271062,0.714285714,0.786813187
T4070,0.440248566,0.621414914,0.870936902,0.643869077,0.996091842
T4954,0.705242868,0.580185042,0.957915832,0.504448898,0.504448898
T5062,0.478146194,0.373775433,0.09080633,0.293905373,0.967785844
T5177,0.728549734,0.790053151,0.914932092,0.679850718,0.873763995
T5282,0.131111916,0.272292648,0.892883346,0.125091709,0.947175348
T6591,0.408874802,0.423930269,0.426307448,0.235502435,0.360215054
X7790,0.435272045,0.662757974,0.736538462,0.396634615,1.03125
